,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-13,25.16,19.02,36.31,32.93,116.24,44.93,35.91,23.39,17.36,40.45,21.42,35.81,122.89,26.0,26.26,46.23,10.54,25.84,11.21,78.94,17.22,31.9,19.46,47.21,13.15,22.04,91.72,57.84,18.06,22.38,28.11,37.33,29.31,31.94,10.83,23.46,18.16,22.84,15.46,19.78,17.19,4.07,9.08,78.27,41.34,61.03,33.85,28.43,38.93,32.05,10.11,5.39,4.85,14.42,60.33,30.92,48.24,16.85,34.92,16.7
2009-04-14,24.85,17.13,36.27,32.83,114.39,44.12,35.31,23.52,17.15,40.44,21.58,35.5,108.69,25.46,26.02,45.87,10.0,25.4,11.09,77.22,16.92,31.57,19.23,46.85,12.7,21.4,91.09,56.65,16.78,22.25,27.71,36.34,28.9,30.95,9.92,25.11,18.05,22.29,15.61,19.74,17.14,4.11,8.6,75.43,40.66,60.3,33.87,27.28,38.86,31.68,10.13,5.32,4.88,14.07,60.05,28.17,47.13,16.88,34.87,16.11
2009-04-15,24.93,19.16,36.43,33.3,113.75,45.41,35.28,24.1,16.69,41.14,21.8,35.97,114.43,25.79,26.15,46.02,10.28,25.0,11.53,74.71,16.64,31.58,19.59,47.55,13.17,21.71,90.71,56.75,17.95,22.88,27.49,36.22,29.19,30.99,10.26,26.44,18.32,22.59,15.32,20.14,17.41,3.86,8.65,76.68,41.95,61.47,34.38,27.9,39.19,32.35,9.87,5.36,4.95,14.02,60.44,29.87,46.38,16.54,35.37,16.56
2009-04-16,24.99,19.23,37.35,34.03,117.43,45.34,36.21,24.09,17.51,41.69,22.26,36.03,114.43,26.32,27.36,45.56,10.66,25.19,11.56,77.25,17.23,31.8,19.62,48.46,13.52,21.95,93.07,56.09,17.86,23.66,28.62,35.91,29.29,30.87,10.17,27.92,19.55,22.85,16.03,19.95,17.95,3.98,8.91,76.26,43.4,64.16,34.71,27.83,40.28,33.98,10.52,5.19,5.23,14.43,59.79,30.5,47.02,17.03,36.61,16.4
2009-04-17,25.23,20.27,36.69,33.97,119.34,45.49,37.49,23.91,17.01,42.07,22.5,35.38,113.87,27.03,27.03,45.04,10.77,26.37,11.78,78.05,17.53,31.14,19.58,47.62,13.26,21.86,92.93,56.16,18.61,23.73,28.33,35.62,28.91,30.93,10.42,26.77,19.13,22.96,16.18,19.97,18.1,3.83,9.15,76.71,44.46,63.63,34.59,28.5,41.18,33.7,10.7,5.22,5.38,14.39,59.21,30.51,48.22,16.94,37.09,16.09
2009-04-20,23.83,17.64,35.58,32.34,116.51,43.5,34.7,23.49,16.49,41.8,21.18,34.41,108.6,26.88,27.1,44.21,9.86,25.7,11.3,77.57,16.43,30.4,19.28,45.99,12.76,21.81,92.16,54.34,15.61,22.32,27.45,34.11,27.29,30.2,7.88,21.31,18.14,22.13,15.6,19.79,16.74,3.53,8.32,75.37,43.66,62.63,34.16,28.0,40.13,32.2,9.97,4.79,4.88,13.66,57.91,27.24,47.56,16.3,36.46,15.66
2009-04-21,24.31,18.19,35.46,32.49,117.73,43.06,34.71,24.17,16.81,41.83,21.6,35.14,113.65,26.93,27.57,44.71,10.17,26.23,11.24,78.74,16.8,30.37,18.74,47.16,13.07,21.9,93.88,55.2,17.27,23.43,28.47,35.08,28.1,30.32,8.61,24.12,18.31,22.76,15.41,20.04,16.99,3.63,8.52,76.04,44.21,62.89,34.53,28.14,41.11,32.89,10.21,5.08,5.06,14.38,58.74,29.85,47.82,16.66,37.14,15.92
2009-04-22,23.9,18.06,35.64,33.07,117.49,41.86,34.67,22.89,16.64,41.69,22.8,35.46,113.77,26.52,26.89,43.93,10.25,25.53,10.84,79.2,17.43,30.2,18.67,46.95,12.87,21.85,94.1,54.24,16.7,23.16,28.54,34.7,29.05,30.19,8.12,23.63,18.4,23.02,15.89,19.77,17.09,4.09,8.57,77.85,43.05,61.9,33.94,28.34,42.66,32.2,10.28,4.85,5.16,14.48,57.43,29.27,46.64,16.42,37.07,15.52
2009-04-23,25.08,19.49,38.01,33.62,121.25,41.79,34.53,22.75,16.77,41.34,22.87,36.92,115.96,26.4,26.43,43.84,10.32,25.88,11.04,80.61,19.57,31.36,18.67,47.97,12.47,22.14,93.06,55.75,18.45,22.93,27.87,36.6,29.05,30.74,8.67,24.78,17.92,22.66,15.61,19.62,17.75,4.29,8.43,79.55,42.81,63.98,33.74,28.2,43.79,32.27,10.37,4.91,5.22,14.55,58.28,30.47,47.54,16.59,37.91,15.96
2009-04-24,25.88,23.51,37.82,34.32,119.8,42.34,34.14,22.93,18.53,41.29,23.91,38.14,114.54,26.49,26.64,42.95,10.52,26.61,10.95,84.46,19.84,31.42,18.61,50.44,12.72,22.35,91.83,56.66,19.65,24.03,28.02,38.34,30.11,30.65,8.95,24.12,18.4,23.15,16.1,19.61,18.07,4.78,8.54,80.47,42.97,63.75,33.59,28.31,43.5,33.24,10.69,5.25,5.41,14.73,59.05,30.62,46.69,17.35,37.9,16.06
2009-04-27,25.77,22.52,38.78,34.99,120.6,42.85,36.16,24.67,18.08,41.54,22.91,36.61,114.16,26.58,26.34,43.52,10.51,26.31,11.22,83.12,18.83,31.1,18.37,50.75,12.61,22.7,91.72,55.65,18.64,22.96,28.2,37.44,29.89,29.94,8.77,23.13,17.68,22.77,15.73,19.71,17.29,4.89,8.41,78.15,43.37,64.56,33.41,27.65,45.36,32.91,10.73,5.27,5.1,13.89,58.66,30.07,46.84,17.3,37.85,15.95
2009-04-28,25.56,22.45,38.77,34.44,119.8,43.66,35.07,23.9,17.66,41.74,22.53,37.02,113.94,26.41,27.01,43.49,10.43,25.77,11.14,82.4,18.47,31.62,18.39,50.04,13.0,22.64,93.54,56.14,17.89,22.97,29.02,37.8,29.35,29.31,8.01,22.14,17.94,22.94,15.41,20.08,17.35,4.96,8.21,76.5,43.13,63.79,33.81,27.64,44.77,32.88,10.52,5.33,5.18,13.64,59.5,30.08,46.88,17.58,37.45,16.27
